series	cos_mean	cos_min	verdict	sample_file
Ojisan to Marshmallow	1.0000	1.0000	OK	Ojisan to Marshmallow/[o7] Ojisan to Marshmallow - 01 (BD 1080p x264 10-bit FLAC) [A0BBC4B2].mp4
Oni no Hanayome (The Ogre's Bride)	0.8205	0.7780	CORRUPT	Oni no Hanayome (The Ogre's Bride)/The Ogre s Bride S01E01 VOSTFR 1080p WEB x264 AAC -Tsundere-Raws (CR).mp4
Ore Monogatari!! (My Love Story!!)	NA	NA	FILE_GONE	Ore Monogatari!! (My Love Story!!)/[DB]Ore Monogatari!!_-_01_(Dual Audio_10bit_BD1080p_x265).mp4
Otaku ni Yasashii Gal wa Inai	NA	NA	FILE_GONE	Otaku ni Yasashii Gal wa Inai/[Erai-raws] Tadaima Ojamasaremasu - 02 [1080p CR WEBRip HEVC AAC][MultiSub][5B060F23].mp4
Otome Kaijuu Caramelise (KAIJU GIRL CARAMELISE)	0.8591	0.8446	CORRUPT	Otome Kaijuu Caramelise (KAIJU GIRL CARAMELISE)/[Judas] Otome Kaijuu - S01E01.mp4
Parallel World Pharmacy(Isekai Yakkyoku)	NA	NA	NO_SAMPLE_FILE	-
Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki	0.8582	0.8252	CORRUPT	Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki/[EMBER] Party kara Tsuihou sareta Sono Chiyushi Jitsu wa Saikyou ni Tsuki - 01.mp4
Ruri Rocks	0.7544	0.7504	CORRUPT	Ruri Rocks/[Trix] Ruri Rocks - 01 v2 (WEB 1080p AV1 Opus) [Multi Subs] [8DAE2E15].mp4
Ryoumin 0-nin Start no Henkyou Ryoushu-sama (The Frontier Lord Begins with Zero Subjects)	0.8509	0.8506	CORRUPT	Ryoumin 0-nin Start no Henkyou Ryoushu-sama (The Frontier Lord Begins with Zero Subjects)/The Frontier Lord Begins with Zero Subjects S01E01 VOSTFR 1080p WEB x264 AAC -Tsundere-Raws (CR).mp4
Sakamoto Days	0.8073	0.8015	CORRUPT	Sakamoto Days/[EMBER] Sakamoto Days - 02.mp4
Sasaki to P-chan (Sasaki and Peeps)	0.6560	0.6527	CORRUPT	Sasaki to P-chan (Sasaki and Peeps)/[Judas] Sasaki to Pii-chan - S01E01.mp4
Seikoku no Dragonar (Dragonar Academy)	NA	NA	NO_SAMPLE_FILE	-
Shangri-La Frontier Kusoge Hunter, Kamige ni Idoman to su (Shangri-La Frontier Crappy Game Hunter Challenges God-Tier Game)	NA	NA	FILE_GONE	Shangri-La Frontier Kusoge Hunter, Kamige ni Idoman to su (Shangri-La Frontier Crappy Game Hunter Challenges God-Tier Game)/[Judas] ShanFro - S01E01v2.mp4
Shimoneta	NA	NA	NO_SAMPLE_FILE	-
Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru(The Ossan Newbie Adventurer)	NA	NA	NO_SAMPLE_FILE	-
Shinobi no Ittoki	NA	NA	NO_SAMPLE_FILE	-
Shokei Shoujo no Virgin Road  The Executioner and Her Way of Life	NA	NA	NO_SAMPLE_FILE	-
Shuumatsu no Valkyrie (Record of Ragnarok - Valkyrie Apocalypse)	0.8879	0.8856	CORRUPT	Shuumatsu no Valkyrie (Record of Ragnarok - Valkyrie Apocalypse)/01 [Anime Time] Record Of Ragnarok - 01.mp4
Smoking Behind the Supermarket With You	0.8029	0.7878	CORRUPT	Smoking Behind the Supermarket With You/Smoking Behind the Supermarket With You (Mini Episodes) S01E01 SUBFRENCH 1080p CR WEB-DL AAC2.0 x264-Tsundere-Raws.mp4
Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranaindesu ga. (My Instant Death Ability is Overpowered)	0.8717	0.8588	CORRUPT	Sokushi Cheat ga Saikyou Sugite, Isekai no Yatsura ga Marude Aite ni Naranaindesu ga. (My Instant Death Ability is Overpowered)/S01E01-Instant Death Ability [300A69A0].mp4
Sounan Desuka? (Are You Lost?)	0.7466	0.7418	CORRUPT	Sounan Desuka? (Are You Lost?)/[YURI] Are You Lost S01E01 [BD 1080p HEVC Flac].mp4
Takopii no Genzai	NA	NA	FILE_GONE	Takopii no Genzai/[EMBER] Takopii no Genzai - 01.mp4
Tatsuki Fujimoto 17_26	NA	NA	NO_SAMPLE_FILE	-
The 8th Son Are You Kidding Me (Hachi-nan tte Sore wa Nai deshou)	NA	NA	NO_SAMPLE_FILE	-
The Apothecary Diaries	0.7772	0.7395	CORRUPT	The Apothecary Diaries/S01E01-Maomao [6846AA97].mp4
The Daily Life Of The Immortal King	NA	NA	NO_SAMPLE_FILE	-
The Eminence in Shadow	NA	NA	FILE_GONE	The Eminence in Shadow/S01E01-The Hated Classmate [0D453E55].mp4
The Girl Downstairs	NA	NA	NO_SAMPLE_FILE	-
The Villager of Level 999 (Level 999 no Murabito)	NA	NA	NO_SAMPLE_FILE	-
The Water Magician	NA	NA	FILE_GONE	The Water Magician/S01E01-The Slow but Dangerous Life [5A3D7846].mp4
